GEO.id2,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,,,,,
Id2,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,,,,,
1746,7051,5843,388,267,,,,,
1747,3027,2613,120,119,,,,,
1748,7634,6079,217,572,,,,,
1749,10096,8654,627,77,,,,,
1752,22237,17227,3073,414,,,,,
1754,5745,4734,467,205,,,,,
1756,3186,2550,236,150,,,,,
1757,14661,11733,1475,292,,,,,
1760,19026,14880,1031,1558,,,,,
1770,2019,1596,102,125,,,,,
1772,4748,3967,185,122,,,,,
1773,2486,1703,108,182,,,,,
1775,3447,2840,240,105,,,,,
1776,8568,6835,352,314,,,,,
1778,6353,4934,296,172,,,,,
1801,21701,18089,1411,940,,,,,
1803,13166,10762,1179,427,,,,,
1810,16799,13381,766,786,,,,,
1821,17046,14798,937,581,,,,,
1824,13338,11515,674,418,,,,,
1826,16180,14032,1077,287,,,,,
1827,1724,1467,68,13,,,,,
1830,12657,9544,1596,574,,,,,
1832,10758,8479,959,424,,,,,
1833,4561,3994,180,51,,,,,
1834,3405,2846,169,118,,,,,
1835,7281,5988,655,162,,,,,
1840,1796,928,216,117,,,,,
1841,19927,12159,4225,984,,,,,
1843,11262,8012,1669,343,,,,,
1844,24918,21106,2292,318,,,,,
1845,14888,12200,1043,432,,,,,
1850,7528,5597,1117,176,,,,,
1851,14029,10847,1918,356,,,,,
1852,16186,12110,1655,687,,,,,
1854,13380,9277,1796,598,,,,,
1860,3451,2893,135,145,,,,,
1862,5656,4833,412,98,,,,,
1863,4561,3816,282,94,,,,,
1864,8125,6930,357,353,,,,,
1867,12805,10465,604,939,,,,,
1876,15736,13798,1004,291,,,,,
1879,6731,5931,310,145,,,,,
1880,14079,11091,915,1112,,,,,
1886,11654,10100,572,170,,,,,
1887,12199,10626,634,431,,,,,
1890,10397,7443,580,1106,,,,,
1901,502,157,24,191,,,,,
1902,21241,12105,1547,3702,,,,,
1904,9866,7925,486,757,,,,,
1905,11871,7501,1155,1475,,,,,
1906,14373,11400,1087,1071,,,,,
1907,7406,5435,415,807,,,,,
1908,1875,1448,76,203,,,,,
1913,9373,6939,984,252,,,,,
1915,21304,15847,1162,1564,,,,,
1921,4086,3132,396,96,,,,,
1922,1603,1429,18,30,,,,,
1923,13766,11780,822,312,,,,,
1929,1922,1404,110,122,,,,,
1930,14497,10952,1175,675,,,,,
1937,0,0,0,0,,,,,
1938,7138,5494,427,320,,,,,
1940,6717,5542,259,225,,,,,
1944,2348,1492,98,288,,,,,
1945,9937,7170,475,522,,,,,
1949,4031,3438,243,29,,,,,
1950,9080,6648,374,505,,,,,
1951,1891,1447,59,167,,,,,
1952,4360,3528,330,62,,,,,
1960,26170,21463,1962,772,,,,,
1966,3454,2492,158,259,,,,,
1969,3092,2372,206,100,,,,,
1970,22151,14443,1464,2579,,,,,
1982,3778,2700,339,238,,,,,
1983,3108,2695,124,28,,,,,
1984,2354,1352,172,105,,,,,
1985,2171,1741,151,52,,,,,
2019,9449,8014,498,301,,,,,
2021,11078,8096,773,1592,,,,,
2025,3828,2760,159,623,,,,,
2026,12531,9317,1163,1013,,,,,
2030,2616,1864,183,155,,,,,
2032,2147,1580,169,197,,,,,
2035,8820,7301,453,446,,,,,
2038,16632,12778,781,1389,,,,,
2043,10049,7102,530,1470,,,,,
2045,5449,3920,307,653,,,,,
2047,16,16,0,0,,,,,
2048,12382,9582,1059,1015,,,,,
2050,13359,11125,1017,447,,,,,
2052,5888,4455,436,501,,,,,
2053,7354,6200,399,268,,,,,
2054,4075,3590,179,45,,,,,
2056,4828,3457,264,613,,,,,
2061,4926,3767,363,447,,,,,
2062,15424,12088,946,1476,,,,,
2066,8172,6187,355,973,,,,,
2067,9201,6578,432,1486,,,,,
2071,476,448,0,28,,,,,
2072,14628,11632,1155,1131,,,,,
2081,9926,7873,577,828,,,,,
2090,7389,5006,415,1185,,,,,
2093,5559,4569,263,314,,,,,
2108,2322,407,0,484,,,,,
2109,2640,648,42,344,,,,,
2110,1278,140,17,166,,,,,
2111,4045,473,461,871,,,,,
2113,5502,1005,70,1426,,,,,
2114,8384,1551,111,1841,,,,,
